quantidade_de_alunos,nome_do_curso
25,Lógica de programação
80,Java para Web
13,C# para Web
60,Ruby on Rails
42,Cursos de Python
23,PHP com MySql
51,.NET para web
65,Novas integrações com Java
28,TDD com Java
60,Código limpo com C#
10,Preparatório para certificação Java
14,Hardware básico
46,Persistência com .NET
59,Desenvolvendo jogos
14,Análise de dados
60,Estatística básica
33,Internet das coisas
56,Programação funcional
55,Boas práticas em Java
67,Orientação objetos com Java
